Date,Open,High,Low,Close,Adj Close,Volume
2023-08-31,4.300000,4.500000,4.300000,4.500000,4.424743,178548
2023-09-01,4.510000,4.640000,4.440000,4.540000,4.464074,188049
2023-09-04,4.610000,4.650000,4.400000,4.410000,4.336248,120049
2023-09-05,4.410000,4.610000,4.290000,4.580000,4.503406,179351
2023-09-06,4.520000,4.580000,4.430000,4.520000,4.493464,109892
2023-09-07,4.580000,4.580000,4.330000,4.340000,4.314521,65311
2023-09-08,4.350000,4.450000,4.280000,4.450000,4.423875,89541
2023-09-11,4.460000,4.480000,4.300000,4.350000,4.324462,259412
2023-09-12,4.320000,4.470000,4.305000,4.390000,4.364227,289881
2023-09-13,4.400000,4.400000,4.285000,4.310000,4.284697,102697
2023-09-14,4.340000,4.390000,4.190000,4.370000,4.344345,107580
2023-09-15,4.400000,4.760000,4.350000,4.760000,4.732055,252887
2023-09-18,4.690000,4.690000,4.520000,4.580000,4.553112,121705
2023-09-19,4.580000,4.620000,4.440000,4.620000,4.592877,75603
2023-09-20,4.600000,4.670000,4.450000,4.670000,4.642583,144650
2023-09-21,4.680000,4.890000,4.530000,4.830000,4.801644,239012
2023-09-22,4.790000,5.030000,4.720000,4.950000,4.920939,276130
2023-09-25,4.950000,5.270000,4.870000,5.010000,4.980587,522690
2023-09-26,4.980000,4.980000,4.460000,4.520000,4.493464,369488
2023-09-27,4.450000,4.580000,4.410000,4.570000,4.543170,178834
2023-09-28,4.550000,4.710000,4.410000,4.420000,4.394051,213142
2023-09-29,4.500000,4.520000,4.310000,4.330000,4.304579,171668
2023-10-02,4.210000,4.250000,4.060000,4.100000,4.075930,174243
2023-10-03,4.110000,4.130000,4.040000,4.060000,4.036164,165235
2023-10-04,4.030000,4.065000,3.900000,3.950000,3.926810,181358
2023-10-05,3.950000,4.030000,3.900000,3.970000,3.946693,193707
2023-10-06,3.950000,3.970000,3.900000,3.970000,3.946693,119958
2023-10-09,3.920000,3.980000,3.880000,3.890000,3.867163,111565
2023-10-10,3.920000,4.070000,3.825000,4.070000,4.046106,249720
2023-10-11,4.080000,4.320000,4.010000,4.280000,4.254873,157400
2023-10-12,4.280000,4.390000,4.210000,4.340000,4.314521,106589
2023-10-13,4.300000,4.300000,4.180000,4.250000,4.225049,75132
2023-10-16,4.240000,4.280000,4.120000,4.150000,4.125636,86339
2023-10-17,4.160000,4.260000,4.120000,4.230000,4.205166,135562
2023-10-18,4.230000,4.230000,4.110000,4.200000,4.175343,94308
2023-10-19,4.210000,4.290000,4.100000,4.250000,4.225049,216566
2023-10-20,4.190000,4.190000,3.970000,4.140000,4.115695,162956
2023-10-23,4.100000,4.280000,4.050000,4.170000,4.145519,120590
2023-10-24,4.170000,4.180000,3.970000,4.110000,4.085871,162602
2023-10-25,4.060000,4.140000,3.990000,4.060000,4.036164,139755
2023-10-26,4.030000,4.050000,3.860000,3.910000,3.887045,161463
2023-10-27,3.860000,3.930000,3.780000,3.840000,3.817456,192762
2023-10-30,3.780000,3.940000,3.670000,3.900000,3.877104,159406
2023-10-31,3.900000,4.000000,3.760000,3.890000,3.867163,172008
2023-11-01,3.870000,3.980000,3.850000,3.910000,3.887045,65287
2023-11-02,3.910000,4.130000,3.850000,4.130000,4.105753,78070
2023-11-03,4.180000,4.430000,4.090000,4.280000,4.254873,200823
2023-11-06,4.280000,4.470000,4.260000,4.320000,4.294638,205264
2023-11-07,4.390000,4.470000,4.270000,4.450000,4.423875,83856
2023-11-08,4.450000,4.600000,4.450000,4.520000,4.493464,100599
2023-11-09,4.610000,4.610000,4.390000,4.500000,4.473581,175212
2023-11-10,4.450000,4.450000,4.260000,4.330000,4.304579,81896
2023-11-13,4.330000,4.540000,4.280000,4.470000,4.443757,136014
2023-11-14,4.420000,4.795000,4.400000,4.740000,4.712172,135597
2023-11-15,4.830000,4.950000,4.810000,4.900000,4.871233,214172
2023-11-16,4.900000,4.920000,4.790000,4.810000,4.781761,207806
2023-11-17,4.800000,4.800000,4.640000,4.680000,4.652524,129551
2023-11-20,4.750000,4.760000,4.550000,4.630000,4.602818,150549
2023-11-21,4.700000,4.810000,4.570000,4.760000,4.732055,194783
2023-11-22,4.810000,4.810000,4.600000,4.680000,4.652524,77920
2023-11-23,4.690000,4.710000,4.560000,4.580000,4.553112,56541
2023-11-24,4.540000,4.750000,4.530000,4.640000,4.612759,76645
2023-11-27,4.640000,4.780000,4.600000,4.680000,4.652524,92019
2023-11-28,4.700000,4.800000,4.680000,4.680000,4.652524,47175
2023-11-29,4.720000,4.870000,4.610000,4.850000,4.821527,141269
2023-11-30,4.770000,4.930000,4.760000,4.910000,4.881174,98526
2023-12-01,4.880000,4.930000,4.770000,4.840000,4.811585,81378
2023-12-04,4.830000,4.980000,4.830000,4.930000,4.901057,262168
